,Player Id,Full Name,Age,Years Pro,Position,Factor,NBA Salary
72,88,Jose Calderon,37.9,14,G,-19.48153594771241,2393887
73,147,Andre Drummond,25.9,7,C,41.251580459770125,25434263
74,182,Langston Galloway,27.6,5,G,-28.72395833333334,7000000
75,208,Blake Griffin,30.3,10,F,179.12662037037035,32088932
76,264,Reggie Jackson,29.3,8,G,53.55053191489364,17043478
77,335,Thon Maker,22.4,3,F,5.947333333333336,2799720
78,374,Markieff Morris,29.9,8,F,-16.803616352201246,8600000
79,408,Zaza Pachulia,35.4,16,C,39.81422413793104,2393887
80,456,Derrick Rose,30.8,11,G,-52.101587301587315,1512601
81,492,Tony Snell,27.8,6,G,54.5577044025157,10607143
82,84,Alec Burks,28.0,8,G,-3.3427350427350464,11536515
83,97,Willie Cauley-Stein,25.9,4,C,-19.954982817869414,4696875
84,124,Stephen Curry,31.3,10,G,371.9145202020201,37457154
85,204,Draymond Green,29.4,7,F,379.0742753623187,17469565
86,270,Jonas Jerebko,32.4,10,F,10.827492877492878,2165481
87,321,Shaun Livingston,33.8,15,G,55.492910447761226,8307692
88,322,Kevon Looney,23.4,4,C-F,23.821111111111108,1567007
89,451,Glenn Robinson III,25.5,5,G-F,-20.359420289855073,4075000
90,462,D'Angelo Russell,23.4,4,G,-176.37820512820514,7019698
91,514,Klay Thompson,29.4,8,G,291.6234299516909,18988725
92,92,Clint Capela,25.2,5,C,37.355603448275886,15293104
93,167,Kenneth Faried,29.7,8,F-C,-32.61066066066067,13764045
94,196,Eric Gordon,30.6,11,G,13.033534136546182,13500375
95,205,Gerald Green,33.5,12,G-F,18.612534435261715,2393887
